Rank,Verdict,Title,Ask,Shipping,Total Cost,Condition,PG Low,PG High,Est Value,Spread,Strong Offer,Walkaway Max,Outbound Ship,Offers,Listed Age,Issues,Recent Sale 1,Recent Sale 2,Recent Sale 3,Listing URL,Model URL
1,STRONG,"Fender American Performer Telecaster Hum with Maple Fretboard 2018 - Present - 3-Tone Sunburst",550,45,595,Good,720,1025,873,278,487,501,60,11,,"","Excellent $949.99","Very Good $849","Very Good $825",https://reverb.com/item/95540059-fender-american-performer-telecaster-hum-with-maple-fretboard-2018-present-3-tone-sunburst,https://reverb.com/p/fender-american-performer-telecaster-hum
2,PROMISING,"Ibanez RG8-WH Standard with Meranti Body, Jatoba Fretboard 2019 - Present - White",199.99,0,199.99,Fair,242,399,321,121,123,126,60,19,8 days ago,"","Excellent $324","Excellent $100","Excellent $299.99",https://reverb.com/item/95341581-ibanez-rg8-wh-standard-with-meranti-body-jatoba-fretboard-2019-present-white,https://reverb.com/p/ibanez-rg8-standard
3,PROMISING,"Epiphone ET-290 Crestwood 1974 - 1978 - Cherry Sunburst",694,48,742,Good,610,1088,849,67,622,640,60,62,,"","Good $500","Very Good $999.99","Very Good $1000",https://reverb.com/item/94710906-epiphone-et-290-crestwood-1974-1978-cherry-sunburst,https://reverb.com/p/epiphone-et-290-crestwood
4,PROMISING,"Fender Special Edition TC-90 Thinline 2004 - 2007",650,91,741,Very Good,569,955,762,66,621,639,60,40,,"","Excellent $875","Excellent $750","Excellent $826",https://reverb.com/item/94735809-fender-special-edition-tc-90-thinline-2004-2007,https://reverb.com/p/fender-special-edition-tc-90-thinline-2004-2007
5,WATCH,"Epiphone Les Paul Custom Ebony P90 Guitar Center Exclusive",550,0,550,Excellent,392,657,525,-25,446,459,60,71,24 days ago,"","Mint $575","Very Good $480","Good $450",https://reverb.com/item/94889472-epiphone-les-paul-custom-ebony-p90-guitar-center-exclusive,https://reverb.com/p/epiphone-les-paul-custom-2020-present
6,WATCH,"Fender Special Edition Set-Neck Esquire Custom GT 2003 - Crimson Red Metallic",635,85,720,Very Good,423,766,595,-168,602,620,60,55,,"","Excellent $550","Very Good $400","Excellent $740",https://reverb.com/item/94840375-fender-special-edition-set-neck-esquire-custom-gt-2003-crimson-red-metallic,https://reverb.com/p/fender-special-edition-set-neck-esquire-custom-gt-2003
7,WATCH,"Epiphone Les Paul Custom Electric Guitar Ebony",399,65,464,Good,377,596,487,-4,366,376,60,52,,"","Excellent $799","Very Good $529","Very Good $450",https://reverb.com/item/94686764-epiphone-les-paul-custom-electric-guitar-ebony,https://reverb.com/p/epiphone-les-paul-custom-1989-2012
8,WATCH,"Epiphone SG Special 2011 - Cherry",158,39,197,Very Good,133,218,176,-21,121,124,60,11,7 days ago,"","Very Good $175","Very Good $219","Good $150",https://reverb.com/item/95289803-epiphone-sg-special-2011-cherry,https://reverb.com/p/epiphone-sg-special-1999-2019
9,WATCH,"Used PRS Paul Reed Smith SE Paul's Guitar Amber 2020",575,85,660,Excellent,474,670,572,-37,547,563,60,25,10 days ago,"","Excellent $700","Mint $709","Very Good $650",https://reverb.com/item/95280135-used-prs-paul-reed-smith-se-paul-s-guitar-amber-2020,https://reverb.com/p/prs-se-pauls-guitar
10,WATCH,"PRS SE Custom 24 2017 - 2019 - Whale Blue",465,100,565,Very Good,406,598,502,-63,459,472,60,50,2 months ago,"","Very Good $450","Excellent $659","Excellent $575",https://reverb.com/item/94431583-prs-se-custom-24-2017-2019-whale-blue,https://reverb.com/p/prs-se-custom-24
11,WATCH,"Epiphone GT Special Model - Matt Black",165,65,230,Very Good,128,225,177,-56,151,155,60,13,14 days ago,"","Very Good $170","Very Good $140","Good $199.99",https://reverb.com/item/95146208-epiphone-gt-special-model-matt-black,https://reverb.com/p/epiphone-les-paul-special-ii-gt
12,WATCH,"Charvel Pro-Mod So-Cal Style 1 HH FR M 2020 - Present - Satin Burgundy Mist",655,80,735,Excellent,568,759,664,-97,616,634,60,12,10 days ago,"","Very Good $615","Excellent $550","Excellent $600",https://reverb.com/item/95271811-charvel-pro-mod-so-cal-style-1-hh-fr-m-2020-present-satin-burgundy-mist,https://reverb.com/p/charvel-pro-mod-so-cal-style-1-hh-fr
13,WATCH,"Schecter C-1 E/A w/ OHSC",510,125,635,Excellent,479,748,614,-41,524,539,60,35,,"","Excellent $600","Very Good $549.99","Very Good $800",https://reverb.com/item/94811526-schecter-c-1-e-a-w-ohsc,https://reverb.com/p/schecter-c-1-e-slash-a-2015-2019
14,WATCH,"Fender Custom Shop '60 Reissue Stratocaster Relic | Candy Apple Red MINT",3868.99,276.85,4145.84,Excellent,2337,3566,2952,-1295,3714,3825,100,19,3 days ago,"","Excellent $2953","Very Good $2500","Excellent $2700",https://reverb.com/item/95518333-fender-custom-shop-60-reissue-stratocaster-relic-candy-apple-red-mint,https://reverb.com/p/fender-custom-shop-60-reissue-stratocaster-relic
15,WATCH,"Fender American Vintage '57 Stratocaster Reissue Electric Guitar 2007 2-Color Sunburst w Case Made in the USA",1450,75,1525,Very Good,1029,1877,1453,-3,1303,1342,100,35,14 days ago,"","Excellent $1750","Good $1100","Excellent $1400",https://reverb.com/item/95128236-fender-american-vintage-57-stratocaster-reissue-electric-guitar-2007-2-color-sunburst-w-case-made-in-the-usa,https://reverb.com/p/fender-american-vintage-57-stratocaster-1990s
16,WATCH,"Epiphone Riviera Frequensator Sparkling Burgundy",452,60,512,Very Good,360,549,455,-57,411,423,60,15,6 days ago,"","Excellent $570","Good $399","Excellent $400",https://reverb.com/item/95420718-epiphone-riviera-frequensator-sparkling-burgundy,https://reverb.com/p/epiphone-riviera-frequensator
17,WATCH,"Ibanez Q52-LBM Quest Standard 2021 - Present - Laser Blue Matte",549,56,605,Good,507,766,637,32,496,510,60,16,7 days ago,"","Mint $599.95","Excellent $800","Very Good $650",https://reverb.com/item/95352916-ibanez-q52-lbm-quest-standard-2021-present-laser-blue-matte,https://reverb.com/p/ibanez-q52-quest-standard
18,WATCH,"Schecter C-1 E/A 2015 - 2019 - Cat's Eye",649,120,769,Excellent,479,748,614,-175,647,666,60,21,,"","Excellent $600","Very Good $549.99","Very Good $800",https://reverb.com/item/94781527-schecter-c-1-e-a-2015-2019-cat-s-eye,https://reverb.com/p/schecter-c-1-e-slash-a-2015-2019
19,WATCH,"Squier FSR Bullet Telecaster with Laurel Fretboard 2018 - 2019 - Lake Placid Blue",149.99,85,234.99,Good,127,250,189,-46,156,160,60,9,5 days ago,"","Excellent $277","Excellent $200","Excellent $180",https://reverb.com/item/95448586-squier-fsr-bullet-telecaster-with-laurel-fretboard-2018-2019-lake-placid-blue,https://reverb.com/p/squier-fsr-bullet-telecaster
20,WATCH,"Squier Classic Vibe '50s Telecaster 2021 - Vintage Blonde",325,60,385,Very Good,269,399,334,-45,294,302,60,43,15 days ago,"","Very Good $591","Very Good $350","Excellent $332.5",https://reverb.com/item/95103518-squier-classic-vibe-50s-telecaster-2021-vintage-blonde,https://reverb.com/p/squier-classic-vibe-50s-telecaster-2008-2018
21,WATCH,"2018 Fender American Original '60s Telecaster - Lake Placid Blue",1649,75,1724,Excellent,1252,1983,1618,-106,1486,1530,100,31,5 days ago,"","Very Good $1500","Excellent $1750","Very Good $1400",https://reverb.com/item/95449616-2018-fender-american-original-60s-telecaster-lake-placid-blue,https://reverb.com/p/fender-american-original-60s-telecaster
22,WATCH,"Squier Paranormal Offset Telecaster - Butterscotch",250,100,350,Good,271,372,322,-35,262,269,60,31,6 days ago,"","Very Good $185","Very Good $200","Excellent $349",https://reverb.com/item/95420856-squier-paranormal-offset-telecaster-butterscotch,https://reverb.com/p/squier-paranormal-offset-telecaster
23,PASS,"Gibson Les Paul Custom 1986 - 1989 - Ebony",4000,140,4140,Excellent,2921,5129,4025,-115,3708,3819,100,50,10 days ago,"Refret / major fret wear (medium)","Very Good $4999.99","Very Good $3999.99","Very Good $3800",https://reverb.com/item/95283783-gibson-les-paul-custom-1986-1989-ebony,https://reverb.com/p/gibson-les-paul-custom-1986-1989
24,PASS,"Epiphone Les Paul Classic Worn 2020 - 2025 - Worn Metallic Gold",330,41,371,Very Good,279,414,347,-3,281,289,60,8,6 days ago,"Headstock repair (high)","Very Good $350","Good $285","Very Good $459",https://reverb.com/item/95418142-epiphone-les-paul-classic-worn-2020-2025-worn-metallic-gold,https://reverb.com/p/epiphone-les-paul-classic-worn